,Rank,Company,RevenueUSD billions,F.Y.,Employees,Market cap.USD billions,Headquarters,Founded,Industry
0,1,Amazon,$469.82,2021,1608000,"$1,691",Seattle,1994,Ecommerce
1,2,Alphabet,$257.64,2021,156500,"$1,917",Mountain View,1998,Internet
2,3,JD.com,$149.32,2021,385357,$109.62,Beijing,1998,Ecommerce
3,4,Meta,$117.93,2021,71970,$935.64,Menlo Park,2004,Social Media
4,5,Alibaba,$109.48,2021,251462,$330.67,Hangzhou,1999,Ecommerce
5,6,Tencent,$87.85,2021,112771,$562.84,Shenzhen,1998,Internet
6,7,ByteDance,$58,2021,110000,$353,Beijing,2012,Social Media
7,8,Netflix,$29.7,2021,12135,$267.46,Los Gatos,1997,Entertainment
8,9,Meituan,$27.77,2021,100033,$177.34,Beijing,2010,Ecommerce
9,10,PayPal,$25.37,2021,30900,$220.26,San Jose,1998,Financial Services
10,11,Wildberries,$22.26,2022,154000,$14.52,Moscow,2004,Ecommerce
11,12,Salesforce.com,$21.25,2021,49000,$212.34,San Francisco,1999,Software
12,13,Suning.com,$21.09,2021,69398,$13.47,Nanjing,1990,Ecommerce
13,14,Baidu,$19.54,2021,45500,$51.77,Beijing,2000,Internet
14,15,Otto Group,$18.27,2020,49895,-,Hamburg,2005,Ecommerce
15,16,Block,$17.66,2021,8521,$74.50,San Francisco,2009,Financial Services
16,17,Uber,$17.46,2021,29300,$81.34,San Francisco,2009,Transportation
17,18,Adobe,$15.78,2021,25988,$269.35,San Jose,1982,Software
18,19,Shein,$15.70,2021,10000,$47,Nanjing,2008,Ecommerce
19,20,Rakuten,$15.30,2021,23841,$15.12,Tokyo,1997,Ecommerce
20,21,NetEase,$13.75,2021,32064,$67.76,Hangzhou,1997,Internet
21,22,Wayfair,$13.71,2021,16681,$19.86,Boston,2005,Ecommerce
22,23,Kwai,$12.75,2021,28098,$38.74,Beijing,2011,Social Media
23,24,Spotify,$11.44,2021,8230,$44.82,Stockholm  New York [40],2006,Audio Streaming
24,25,eBay,$10.42,2021,10800,$41.62,San Jose,1995,Ecommerce
25,26,Bloomberg L.P.,$10,2019,20000,-,New York City,1981,Financial Services
26,27,Zalando,$7.98,2020,14194,$27.37,Berlin,2008,Ecommerce
27,28,Chewy,$7.15,2020,18500,$33.05,Dania Beach,2011,Ecommerce
28,29,Yahoo,$7.4,2020,10030,,Sunnyvale,2017,Search engine
29,30,Booking,$6.79,2020,20300,$96.35,Norwalk,1996,Travel
30,31,Coupang,$6.23,2019,10000,-,SeoulDelaware[53],2010,Ecommerce
31,32,Naver,$5.7,2019,15148,$51.23,Seongnam,1999,Internet
32,33,Carvana,$5.59,2020,10400,$45.65,Tempe,2013,Ecommerce
33,34,Epic Games,$5.4,2019,1000,-,Cary,1999,Video Games
34,35,Expedia,$5.2,2020,19100,$25.26,Bellevue,1996,Travel
35,36,ASOS.com,$4.52,2020,3824,$7.1,London,2000,Ecommerce
36,37,ServiceNow,$4.52,2020,13096,$107.55,Santa Clara,2004,Software
37,38,Sea Limited,$4.38,2020,33800,$128.07,Singapore,2009,Ecommerce
38,39,Pinduoduo,$4.33,2019,5828,$167.04,Shanghai,2015,Ecommerce
39,40,Workday,$4.32,2020,12500,$61.44,Pleasanton,2005,Software
40,41,Bet365,$3.89,2019,4708,-,Stoke-on-Trent,2000,Online Gambling
41,42,Twitter,$3.72,2020,5500,$51.36,San Francisco,2006,Social Media
42,43,Compass,$3.72,2020,18000,-,New York,2010,Internet Real estate
43,44,Kakao,$3.71,2020,"8,602",$46.02,Jeju City,2010,Internet
44,45,Stripe,$3.45,2018,2500,-,San Francisco Dublin[77],2010,Financial Services
45,46,Airbnb,$3.38,2020,5597,$103.86,San Francisco,2008,Lodging
46,47,Zillow,$3.34,2020,5249,$9.59,Seattle,2006,Real Estate
47,48,GoDaddy,$3.32,2020,6621,$14.35,Scottsdale,2004,Web Hosting
48,49,Akamai Technologies,$3.2,2020,8368,$17.36,"Cambridge, Massachusetts",1998,Cybersecurity
49,50,wework,$3.2,2020,6000,,New York City,2010,Real estate technology
50,51,Infor,$3.2,2020,18000,-,New York,2002,Software as service
51,52,DoorDash,$2.89,2020,3886,$46.27,San Francisco,2013,Delivery
52,53,Yandex,$2.96,2020,11864,$21.65,Moscow,1997,Internet
53,54,Shopify,$2.93,2020,7000,$133.22,Ottawa,2004,Ecommerce
54,55,Trip.com,$2.81,2020,33400,$23.03,Shanghai,1999,Travel
55,56,Rackspace,$2.71,2020,7200,$20.00,"San Antonio, Texas",1998,Information Technology
56,57,EPAM Systems,$2.66,2019,3650,$31.10,"Newtown, Pennsylvania",1993,Information Technology
57,58,Zoom Video,$2.65,2020,4422,$96.43,"San Jose, California",2011,Internet Telecommunication
58,59,Opendoor,$2.58,2020,1048,$10.78,San Francisco,2011,Internet Real Estate
59,60,Overstock,$2.55,2020,1750,$2.89,Midvale,1999,Ecommerce
60,61,Travelport,$2.55,2018,3700,-,"Cumberland, Georgia",2001,Travel
61,62,Wish,$2.54,2020,875,$8.09,San Francisco,2008,Ecommerce
62,63,The Stars Group,$2.53,2019,4591,$7.49,Toronto,2001,Online Gambling
63,64,Snap,$2.51,2020,3863,$86.04,Santa Monica,2011,Social Media
64,65,Coolblue,$2.4,2020,6361,-,Rotterdam,1999,Ecommerce
65,66,Match Group,$2.39,2020,1900,$38.59,Dallas,2006,Online Dating
66,67,Lyft,$2.36,2020,4675,$20.06,San Francisco,2010,Transportation
67,67,Fanatics,$2.3,2018,1800,-,Jacksonville,1995,Ecommerce
68,68,58.com,$2.23,2019,21743,$9.69,Beijing,2005,Online Directory
69,69,Copart,$2.21,2020,7600,$29.04,Dallas,1982,Automotive
70,70,CDK Global,$2.19,2020,9000,$5.3,Illinois,2014,Automotive Ecommerce
71,71,Sina Corp,$2.16,2019,8300,$2.58,Beijing,1998,Internet
72,72,Newegg,$2.08,2019,3700,-,City of Industry,2003,Ecommerce
73,73,Instacart,$2.0,2017,5755,-,San Francisco,2012,Hyperlocal Delivery
74,74,Shutterfly,$2.0,2018,7500,-,"Redwood City, California",1998,Photography
75,75,BMC Software,$2.0,2019,6000,-,"Houston, Texas",1980,software as service
76,76,Zynga,$1.97,2020,2245,$11.53,San Francisco,1998,Video Games
77,77,Roblox Corporation,$1.91,2021,1600,$16.17,San Mateo,2004,Online gaming
78,78,Dropbox,$1.91,2020,2760,$10.47,San Francisco,2007,Cloud Storage
79,79,B2W,$1.86,2020,"9,050",$6.90,Rio de Janeiro,2006,Ecommerce
80,80,Grubhub,$1.82,2020,2841,$6.62,Chicago,2001,Online Food Ordering
81,81,Twilio,$1.76,2020,4629,$63.71,San Francisco,2008,Telecommunication
82,82,Stitch Fix,$1.71,2020,8000,$4.66,San Francisco,2009,Personalized Services
83,83,Etsy,$1.7,2020,1414,$25.3,New York,2002,Ecommerce
84,84,Pinterest,$1.69,2020,2545,$45.73,San Francisco,2009,Social Media
85,85,Farfetch,$1.67,2020,5441,$16.96,London Lisbon,2007,Ecommerce
86,86,Klarna,$1.60,2021,4789,$45.6,Stockholm,2005,Financial Services
87,87,J2 Global,$1.49,2020,"2,400",$5.43,"Los Angeles,",1995,Internet
88,88,ANGI Homeservices Inc.,$1.47,2020,5100,$7.92,Denver,1995,Internet
89,89,DocuSign,$1.45,2021,5630,$41.13,San Francisco,2003,Software
90,90,Groupon,$1.42,2020,4159,$1.30,Chicago,2005,Ecommerce
91,91,Ozon,$1.39,2020,14834,$7.1,Moscow,1998,Ecommerce
92,92,Vroom.com,$1.36,2020,944,$5.89,New York City,2003,Ecommerce
93,93,VK (formerly Mail.ru),$1.33,2020,"6,334",$5.17,Moscow,1998,Internet
94,94,Sabre Corporation,$1.33,2020,7531,$4.88,Southlake,1994,Travel
95,95,"Kaplan, Inc.",$1.31,2020,5500,-,"Fort Lauderdale, Florida",1938,Education
96,96,Endurance International Group,$1.3,2019,2500,$4.00,"Burlington, Massachusetts",1998,Internet
97,97,GoTo,$1.3,2022,5000,$32.00,Jakarta,2021,"Transportation, Ecommerce"
98,98,Exela Technologies,$1.29,2020,22000,$1.2,"Irving, Texas",2017,Automation
99,99,Verisign,$1.27,2020,909,$23.94,Reston,1995,Internet
100,100,Flexport,$1.27,2020,2000,,San Francisco,2013,Software freight forwarding
101,101,LogMeIn,$1.26,2019,3974,$4.21,Boston,2003,Software
102,102,Unity Technologies,$1.2,2021,5500,$12.73,San Francisco,2004,Software gaming
103,103,Blue Yonder,$1.1,2021,5500,-,"Scottsdale, Arizona",1985,Software
104,104,Craigslist,$1.0,2018,1000,-,San Francisco,1995,Classifieds
105,105,Grab,$1.0,2018,6000,-,Singapore,2012,Transportation
